fuente,grupo_fuente,formato,ruta,lectura_ok,error_lectura,tipo_geometria,registros,columnas,duplicados_exactos,duplicados_por_clave_incendio,fechas_invalidas_inicio,fechas_invalidas_termino,fechas_invertidas,fechas_fuera_periodo_proyecto,anios_invalidos,anio_vs_fecha_inconsistente,latitudes_fuera_rango,longitudes_fuera_rango,superficie_negativa,duracion_negativa,geometrias_nulas,geometrias_vacias,geometrias_invalidas,campos_criticos_evaluados,n_hallazgos
2025_Incendios_forestales,csv_evento,csv,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\2025_Incendios_forestales.csv,si,,,7016,74,0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,0,0.0,,,,3,1
estadisticasIncendiosForestales2015-2024,excel_evento,xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\estadisticasIncendiosForestales2015-2024.xlsx,si,,,71089,37,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0,0.0,,,,4,1
Historico_IncendiosForestales_1970-2024,historico_agregado_1970_2024,xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\Historico_IncendiosForestales_1970-2024.xlsx,si,,,1760,5,0,,,,,,0.0,,,,0,,,,,2,0
historico_incendios_activos_2001-2025,historico_shp_evento_multianual,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\historico_incendios_2001-2025\historico_incendios_activos_2001-2025.shp,si,,Point,127333,30,0,0.0,0.0,0.0,105.0,27.0,,,,,0,,0.0,0.0,0.0,2,2
incendios_2010,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2010\incendios_2010.shp,si,,Polygon,311,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,1.0,2,1
incendios_2011,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2011\incendios_2011.shp,si,,"Polygon, MultiPolygon",343,21,0,0.0,0.0,0.0,1.0,0.0,,,,,0,,0.0,0.0,0.0,2,1
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,si,,"Polygon, MultiPolygon",224,23,0,0.0,0.0,0.0,8.0,0.0,,,,,0,,9.0,0.0,9.0,2,3
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,si,,"Polygon, MultiPolygon",552,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,0.0,2,0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,si,,"Polygon, MultiPolygon",628,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0.0,0.0,0.0,2,0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,si,,"Polygon, MultiPolygon",1105,23,0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0.0,0.0,2,0
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,si,,"Polygon, MultiPolygon",3244,22,0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0.0,0.0,2,0
incendios_2017,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2017\incendios_2017.shp,si,,"Polygon, MultiPolygon",4545,22,0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0.0,45.0,2,1
incendios_2018,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2018\incendios_2018.shp,si,,"Polygon, MultiPolygon",3416,22,0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0.0,0.0,2,0
incendios_2019,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2019\incendios_2019.shp,si,,"Polygon, MultiPolygon",4265,22,0,0.0,0.0,0.0,1.0,0.0,,,,,0,,0.0,0.0,2.0,2,2
incendios_2020,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2020\incendios_2020.shp,si,,"Polygon, MultiPolygon",5778,20,0,0.0,0.0,0.0,1.0,0.0,,,,,0,,0.0,0.0,0.0,2,1
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,si,,"Polygon, MultiPolygon",7272,20,1,5.0,0.0,2.0,2.0,0.0,,,,,0,,0.0,0.0,3.0,2,6
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,si,,"Polygon, MultiPolygon",6718,15,0,0.0,1.0,1.0,3.0,0.0,,,,,0,,0.0,0.0,17.0,2,4
incendios_2023,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2023\incendios_2023.shp,si,,"Polygon, MultiPolygon",7513,15,0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0.0,4.0,2,1
